Feature,Correlation,p_value
Max_Heart_Rate,-0.3759344658528688,0.0
Slope,0.041033067814525474,6.9122526422768136e-06
Resting_ECG,0.05879969015763095,1.1477275260581231e-10
Fasting_Blood_Sugar,0.06916956701922183,3.31353310605078e-14
Thalassemia,0.08981510076442686,6.351647474716785e-23
Cholesterol,0.10174987732906793,5.466952186620457e-29
Sex,0.10697524124453457,6.973697067372601e-32
Trestbps,0.17269063300956428,5.565104033581375e-81
Chest_Pain_Type,0.20175386548387114,1.944754992165391e-110
ST_Depression,0.23144725024903964,1.143305542975436e-145
Exercise_Induced_Angina,0.27614411956447626,5.837600637311048e-209
Major_Vessels,0.308413312131054,9.242370742291338e-263
Age,0.3532800196045851,0.0
